# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	13888
#@/user_id	68f0eb48-92c8-401d-96d2-9347ba0bc0d7
ce 	冊	c=0 d=0.1 t=1269
ce chu 	測出	c=1 d=1 t=2214
ce chu lai 	測出來	c=1 d=1 t=2930
ce liang 	測量	c=1 d=1 t=12464
ce lve 	策略	c=4 d=1.12809 t=13712
ce shi 	測試	c=14 d=1.00156 t=13100
ce shi yi xia 	測試一下	c=1 d=1 t=4446
ce zhong 	側重	c=1 d=1 t=2107
ce zhong dian 	側重點	c=1 d=1 t=3829
ceng 	曾	c=2 d=1.93239 t=8786
ceng 	蹭	c=3 d=1 t=12246
ceng ji 	層級	c=1 d=0.982497 t=5437
ceng ji zu zhi 	層級組織	c=1 d=1 t=5438
ceng jing 	曾經	c=1 d=1 t=4777
ceng wang 	蹭網	c=1 d=1 t=9512
cha bie 	差別	c=2 d=1 t=6412
cha bu duo 	差不多	c=2 d=1.13807 t=2897
cha bu duo le 	差不多了	c=1 d=1 t=5371
cha cha 	查查	c=1 d=0.1 t=12401
cha hua 	插畫	c=1 d=1 t=11984
cha hua shi 	插画师	c=1 d=1 t=9812
cha jian 	插件	c=17 d=1.00001 t=12983
cha jian zhi hou 	插件之後	c=1 d=1 t=6195
cha jue dao 	察覺到	c=1 d=1 t=13848
cha kan 	查看	c=5 d=1 t=10131
cha qi lai 	查起來	c=1 d=1 t=1490
cha ru 	插入	c=2 d=1.002 t=3325
cha yi 	差異	c=3 d=1 t=12936
cha yi xia 	查一下	c=1 d=1 t=204
cha yue 	查閱	c=1 d=1 t=5783
cha zhao 	查找	c=2 d=1.06788 t=12312
chai kai 	拆開	c=1 d=1 t=8214
chan chu 	產出	c=1 d=1.10573 t=710
chan chu duo 	產出多	c=1 d=1 t=585
chan chu shao 	產出少	c=1 d=1 t=582
chan pin 	產品	c=1 d=1 t=8029
chan sheng 	產生	c=2 d=1 t=13841
chan shu 	闡述	c=1 d=1 t=10309
chan ye 	產業	c=1 d=1 t=6105
chang 	昌	c=2 d=1.47001 t=11444
chang 	長	c=1 d=1 t=11383
chang di 	場地	c=1 d=1 t=8692
chang du 	長度	c=1 d=1 t=1266
chang he 	場合	c=0 d=0.1 t=8759
chang he li 	場合裏	c=1 d=1 t=8760
chang jian 	常見	c=1 d=1 t=7920
chang jing 	場景	c=2 d=1 t=12795
chang nian 	常年	c=1 d=1 t=9331
chang qi 	長期	c=8 d=1 t=9484
chang shi 	嘗試	c=8 d=1.00001 t=11904
chang suo 	場所	c=1 d=1 t=8750
chang yong 	常用	c=2 d=1 t=12280
chang yong shi jian 	常用時間	c=1 d=1 t=36
chang you 	常有	c=1 d=1 t=6536
chang yuan 	長遠	c=1 d=1 t=5397
chao guo 	超過	c=1 d=1 t=13034
chao shi 	超市	c=1 d=1 t=8388
che dan 	扯淡	c=1 d=1 t=10058
che dao 	扯到	c=0 d=0.1 t=8920
che dao le 	扯到了	c=1 d=1 t=8921
che hui 	撤回	c=2 d=1.99005 t=9990
che liang 	車輛	c=1 d=1 t=4156
che zhan 	車站	c=1 d=1 t=3006
chen 	陳	c=2 d=1.44486 t=10516
chen dian 	沉澱	c=1 d=1 t=8632
chen feng 	塵封	c=4 d=1.93024 t=5197
chen jin 	沉浸	c=4 d=1 t=9055
chen lun 	沉淪	c=1 d=1 t=4919
chen ren ben 	趁人本	c=1 d=1 t=13193
chen xu 	陈旭	c=1 d=1 t=3944
chen xu yuan 	陈戌源	c=1 d=1 t=10774
chen zhi 	稱職	c=1 d=1 t=5091
cheng 	成	c=3 d=1 t=13602
cheng ben 	成本	c=1 d=1 t=722
cheng dan 	承擔	c=1 d=1 t=13156
cheng du 	程度	c=2 d=1.99005 t=13748
cheng gong 	成功	c=2 d=1.00047 t=2352
cheng guo 	成果	c=2 d=1 t=13660
cheng jia 	成家	c=1 d=1 t=13214
cheng ken 	誠懇	c=1 d=1 t=2295
cheng li 	成立	c=1 d=1 t=5656
cheng qian qi hou 	承前啓後	c=1 d=1 t=711
cheng qiang 	逞強	c=1 d=1 t=4961
cheng ren 	成人	c=5 d=1.06516 t=13195
cheng ren 	承認	c=1 d=1 t=5024
cheng shi 	城市	c=3 d=1.00449 t=13405
cheng shi 	誠實	c=0 d=0.1 t=12776
cheng shi fa zhan 	城市發展	c=1 d=1 t=13509
cheng shi qun 	城市羣	c=3 d=1.04293 t=12670
cheng shu 	成熟	c=4 d=2.01426 t=7208
cheng wei 	成爲	c=11 d=3.09376 t=9683
cheng xian 	呈現	c=1 d=1 t=13357
cheng xian le 	呈現了	c=1 d=1 t=6882
cheng xu 	程序	c=6 d=1.00001 t=13535
cheng xu lei 	程序類	c=1 d=1 t=3171
cheng xu yuan 	程序員	c=1 d=0.1 t=10774
cheng xu yuan shuo 	程序員說	c=1 d=1 t=10775
cheng yu 	成語	c=1 d=1 t=13096
cheng zhang 	成長	c=3 d=2.8676 t=9133
chi dao 	遲到	c=2 d=1 t=10472
chi fan 	喫飯	c=3 d=1.99501 t=10828
chi gu 	持股	c=0 d=0.1 t=12746
chi gu a 	持股啊	c=1 d=1 t=12747
chi gua 	喫瓜	c=2 d=1.72615 t=12812
chi xu 	持續	c=3 d=1 t=13630
chi xu de 	持續的	c=1 d=1 t=6995
chong 	寵	c=1 d=1 t=13309
chong 	衝	c=2 d=1 t=13570
chong 	重	c=1 d=1 t=9529
chong dian qi 	充電器	c=1 d=1 t=12261
chong fu 	重複	c=1 d=1 t=11734
chong hua fei 	充话费	c=1 d=1 t=9165
chong jing 	憧憬	c=1 d=1 t=7165
chong man 	充滿	c=1 d=1 t=4997
chong qi 	重啓	c=2 d=1 t=11879
chong tu 	衝突	c=3 d=0.130951 t=11125
chong tu de 	衝突的	c=1 d=1 t=11126
chong xin 	重新	c=1 d=1 t=1564
chong zuo 	重做	c=1 d=1 t=3922
chou 	丑	c=1 d=1 t=1162
chou 	抽	c=3 d=1 t=7643
chou ge 	抽個	c=1 d=1 t=11650
chou wen ri ji 	丑闻日记	c=1 d=1 t=6551
chu 	出	c=4 d=1.60074 t=11233
chu 	初	c=7 d=4.49001 t=12913
chu 	除	c=3 d=1.0163 t=4480
chu ban 	出版	c=1 d=1 t=6104
chu ban 	初版	c=1 d=1 t=10608
chu ban de 	出版的	c=3 d=2.97025 t=6117
chu ban she 	出版社	c=2 d=1.95123 t=6112
chu bu 	初步	c=2 d=1.00027 t=13543
chu chu ke lian 	楚楚可憐	c=1 d=1 t=3480
chu chun 	初春	c=1 d=1 t=3377
chu ci 	初次	c=2 d=1 t=12862
chu ci 	除此	c=1 d=1 t=12330
chu cun ku 	儲存庫	c=1 d=1 t=6874
chu cuo 	出錯	c=1 d=1 t=1238
chu fei shi 	除非是	c=1 d=1 t=12708
chu gao 	初稿	c=2 d=1.97045 t=7779
chu jie 	初階	c=1 d=1 t=6301
chu kui men jing 	初窺門徑	c=2 d=1.47711 t=2207
chu lai 	出來	c=4 d=0.100003 t=12985
chu lai le 	出來了	c=1 d=1 t=3600
chu le 	出了	c=3 d=1.99159 t=1216
chu le 	除了	c=2 d=1.00038 t=12755
chu li 	處理	c=6 d=1.00003 t=13045
chu li qi 	處理器	c=1 d=1 t=1665
chu lian 	初戀	c=1 d=1 t=8900
chu lu 	出爐	c=1 d=1 t=8960
chu men 	出門	c=1 d=1 t=2645
chu qu 	出去	c=0 d=0.1 t=954
chu sheng de 	出生的	c=1 d=1 t=9094
chu shou 	出售	c=2 d=1.97531 t=949
chu wen 	初吻	c=2 d=1.98511 t=12518
chu xian 	出現	c=8 d=1.01412 t=11243
chu xing 	出行	c=1 d=1 t=12271
chu you 	出遊	c=1 d=1 t=3314
chu yu 	處於	c=4 d=1.00001 t=7069
chu zai 	處在	c=4 d=1.00008 t=2406
chua mei 	欻沒	c=1 d=1 t=6093
